structure,die_x,die_y,measurement_id,mode,snm_mv,snm_left_mv,snm_right_mv,limiting_lobe,status,individual_png
SP00,12,4,41,hold,482.9979804829562,482.9979804829562,512.2276427704372,left,ok,
SP00,12,5,54,hold,475.4240197229118,488.0584517870905,475.4240197229118,right,ok,
SP00,12,5,54,read,101.14430819826148,101.14430819826148,199.34789782381998,left,ok,
SP00,12,6,73,hold,481.46890456829954,481.46890456829954,568.3786995982363,left,ok,
SP00,12,6,73,read,205.10224206019888,238.16020283417106,205.10224206019888,right,ok,
SP00,12,7,79,hold,460.0374993552791,460.0374993552791,554.3858068135809,left,ok,
SP00,12,7,79,read,187.81423315623366,257.53043008866996,187.81423315623366,right,ok,
SP00,13,2,10,hold,310.7902902854998,310.7902902854998,333.4455145067252,left,ok,
SP00,13,2,10,read,125.25242501633029,194.4224181146475,125.25242501633029,right,ok,
SP00,13,3,19,hold,329.62890859640453,583.7681964579168,329.62890859640453,right,ok,
SP00,13,3,19,read,82.87111364305142,229.49488638025903,82.87111364305142,right,ok,
SP00,13,4,42,hold,481.7056487751374,481.7056487751374,549.5489870314931,left,ok,
SP00,13,5,53,hold,450.55133098959635,450.55133098959635,590.4423157273793,left,ok,
SP00,13,5,53,read,176.83261582414923,176.83261582414923,266.95851291769316,left,ok,
SP00,13,6,74,hold,470.94875244380523,470.94875244380523,509.8627796478924,left,ok,
SP00,13,6,74,read,184.64137408567723,184.64137408567723,250.91181400855805,left,ok,
SP00,13,7,78,hold,463.454490572096,463.454490572096,528.6781557921848,left,ok,
SP00,13,7,78,read,193.18376653424897,193.18376653424897,234.70611206583845,left,ok,
SP00,14,2,11,hold,464.7660726151374,464.7660726151374,572.0466154548474,left,ok,
SP00,14,2,11,read,35.6293092845389,35.6293092845389,297.8269013551572,left,ok,
SP00,14,3,18,hold,488.47684739337734,491.1446559694053,488.47684739337734,right,ok,
SP00,14,3,18,read,109.85805790618188,109.85805790618188,237.4572102847805,left,ok,
SP00,14,4,43,hold,459.22687133719387,459.22687133719387,588.3221486147263,left,ok,
SP00,14,4,43,read,146.41410915026165,146.41410915026165,248.29780900845762,left,ok,
SP00,14,5,52,hold,375.2071063296494,375.2071063296494,589.8342794332497,left,ok,
SP00,14,5,52,read,79.157240597434,283.9483725813419,79.157240597434,right,ok,
SP00,14,6,75,hold,452.47384219519626,452.47384219519626,578.733014653589,left,ok,
SP00,14,6,75,read,24.288399475607726,24.288399475607726,222.01400833308102,left,ok,
SP00,15,2,12,hold,460.4492204889129,483.8988598408957,460.4492204889129,right,ok,
SP00,15,3,17,hold,457.292992684966,552.2213003541544,457.292992684966,right,ok,
SP00,15,4,44,hold,466.4037280066063,466.4037280066063,501.622563666023,left,ok,
SP00,15,5,51,hold,469.280540377565,469.280540377565,557.6807636197102,left,ok,
SP00,15,5,51,read,82.51521289446192,170.58128827285765,82.51521289446192,right,ok,
SP00,15,6,76,hold,471.0694055510585,488.8780946233203,471.0694055510585,right,ok,
SP00,15,6,76,read,200.7768716965652,236.48790527890682,200.7768716965652,right,ok,
SP00,16,2,13,hold,471.64051547456,471.64051547456,480.23665213379064,left,ok,
SP00,16,2,13,read,203.31677114887222,234.64570560116803,203.31677114887222,right,ok,
SP00,16,3,16,hold,482.29205301822066,482.29205301822066,563.5011862164448,left,ok,
SP00,16,3,16,read,204.0329647114759,204.0329647114759,210.13976938304248,left,ok,
SP00,16,4,45,hold,310.4213687808573,590.0751869229624,310.4213687808573,right,ok,
SP00,16,4,45,read,227.5054650947834,227.5054650947834,239.74056230706944,left,ok,
SP00,16,5,50,hold,436.6615502581037,436.6615502581037,581.0919734648427,left,ok,
SP00,16,6,77,hold,328.9926775499366,328.9926775499366,609.7000873648337,left,ok,
SP00,16,6,77,read,192.9646008381577,213.16957971132342,192.9646008381577,right,ok,
SP00,17,3,15,hold,348.80621956151595,600.1502501470501,348.80621956151595,right,ok,
SP00,17,4,46,hold,451.5180155377749,451.5180155377749,555.5558437987303,left,ok,
SP00,17,4,46,read,101.03770520980382,188.06103113687482,101.03770520980382,right,ok,
SP00,17,5,49,hold,315.0095652176666,591.3198953461207,315.0095652176666,right,ok,
SP00,17,5,49,read,205.09784263459193,220.25262236952506,205.09784263459193,right,ok,
SP00,18,3,14,hold,456.37357838757697,502.59416414775626,456.37357838757697,right,ok,
SP00,18,3,14,read,10.037969639243933,10.037969639243933,111.36790513562602,left,ok,
SP00,18,4,47,hold,460.7023321488207,460.7023321488207,510.82151658275876,left,ok,
SP00,18,4,47,read,50.27229389387299,50.27229389387299,97.33712855193873,left,ok,
SP00,18,5,48,hold,464.28930224683336,491.4995947720742,464.28930224683336,right,ok,
SP00,18,5,48,read,31.220339541356793,203.05188748134006,31.220339541356793,right,ok,
SP01,2,3,30,hold,461.44474187552186,461.44474187552186,484.99745597809726,left,ok,
SP01,2,3,30,read,171.97756876534882,171.97756876534882,185.60301480797216,left,ok,
SP01,2,4,31,hold,470.8693372627062,483.80028844059524,470.8693372627062,right,ok,
SP01,2,4,31,read,228.2567517493576,229.89862387275667,228.2567517493576,right,ok,
SP01,2,5,64,hold,513.6791401863526,513.6791401863526,517.8888544717228,left,ok,
SP01,2,5,64,read,206.07680880363,213.47001995176694,206.07680880363,right,ok,
SP01,3,3,29,hold,469.76598807984936,500.4158395883206,469.76598807984936,right,ok,
SP01,3,3,29,read,196.24514864893086,196.24514864893086,209.40015500851342,left,ok,
SP01,3,4,32,hold,370.47809942180214,380.08724517047534,370.47809942180214,right,ok,
SP01,3,4,32,read,189.04775192125757,189.04775192125757,241.7350987894,left,ok,
SP01,3,5,63,hold,455.6592016354379,455.6592016354379,471.72800147311534,left,ok,
SP01,3,5,63,read,188.49575769159924,188.49575769159924,196.44547866174585,left,ok,
SP01,4,2,1,hold,480.67405180427704,480.67405180427704,489.44556671584684,left,ok,
SP01,4,2,1,read,213.82672610932315,213.82672610932315,217.12168051501015,left,ok,
SP01,4,3,28,hold,452.71773101522814,480.9295724385527,452.71773101522814,right,ok,
SP01,4,3,28,read,186.71999369790262,208.95498145402956,186.71999369790262,right,ok,
SP01,4,4,33,hold,478.77374880384605,495.8360655385788,478.77374880384605,right,ok,
SP01,4,4,33,read,205.76932440970327,230.22155236871146,205.76932440970327,right,ok,
SP01,4,5,62,hold,544.487243669532,544.487243669532,548.0564211339229,left,ok,
SP01,4,5,62,read,211.80749273208886,258.8896533703191,211.80749273208886,right,ok,
SP01,4,6,65,hold,463.7994804483806,463.7994804483806,498.87978234082453,left,ok,
SP01,4,6,65,read,196.44762549018006,196.44762549018006,246.02605569178212,left,ok,
SP01,5,2,2,hold,479.7168636335294,495.7950356573352,479.7168636335294,right,ok,
SP01,5,2,2,read,193.7162245440248,496.21282236733356,193.7162245440248,right,ok,
SP01,5,3,27,hold,479.7059470779418,479.7059470779418,486.351544532017,left,ok,
SP01,5,3,27,read,201.24947895385665,201.24947895385665,210.94695972312144,left,ok,
SP01,5,4,34,hold,465.2603731675776,490.1438859941025,465.2603731675776,right,ok,
SP01,5,4,34,read,187.50107595361405,220.5276622863432,187.50107595361405,right,ok,
SP01,5,5,61,hold,474.2614143892754,492.4274012021125,474.2614143892754,right,ok,
SP01,5,5,61,read,182.64057647929437,220.73683056086634,182.64057647929437,right,ok,
SP01,5,6,66,hold,460.8055938491183,492.6260147331299,460.8055938491183,right,ok,
SP01,5,6,66,read,189.1724034508835,235.01141317757177,189.1724034508835,right,ok,
SP01,6,2,3,hold,352.8125220050967,352.8125220050967,382.9600298590761,left,ok,
SP01,6,2,3,read,170.3193596888728,170.3193596888728,200.57999626685466,left,ok,
SP01,6,3,26,hold,471.41421852411673,495.59280706629346,471.41421852411673,right,ok,
SP01,6,3,26,read,187.51667816282895,204.2945702549023,187.51667816282895,right,ok,
SP01,6,4,35,hold,469.6562916952459,469.6562916952459,490.9862376481983,left,ok,
SP01,6,4,35,read,195.20345044414964,195.20345044414964,221.62778589178936,left,ok,
SP01,6,5,60,hold,462.9697148216121,510.3678708239211,462.9697148216121,right,ok,
SP01,6,5,60,read,176.78425963946577,213.0921526127915,176.78425963946577,right,ok,
SP01,6,6,67,hold,490.45452866158206,493.7075608715903,490.45452866158206,right,ok,
SP01,6,6,67,read,211.05365031931046,211.79296072073552,211.05365031931046,right,ok,
SP01,7,2,4,hold,515.7299818455252,515.7299818455252,545.5746615600883,left,ok,
